Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
282,closed ,ABS,0.1,20,Grid,30,3.1586666666666665,74.9,557.037,26070.63333333333,0.016,1859.669333333333,6.266666666666667,3.41
283,closed ,ABS,0.1,20,Triangles,50,3.798666666666666,78.2,546.4756666666666,25661.36666666667,0.015,1869.314666666666,6.196666666666666,3.436666666666667
284,closed ,ABS,0.1,20,Zigzag,70,3.693,78.7,548.2046666666666,26103.83333333333,0.016,1877.652666666667,6.093333333333334,3.446666666666667
285,closed ,ABS,0.1,50,Grid,50,5.307666666666666,74.9,611.8763333333333,28722.63333333333,0.016,2058.860333333334,6.176666666666667,3.450000000000001
286,closed ,ABS,0.1,50,Triangles,70,2.522666666666667,78.9,571.9966666666668,27225.46666666666,0.014,2113.273333333333,6.066666666666666,3.463333333333333
287,closed ,ABS,0.1,50,Zigzag,30,3.1359999999999997,77.5,593.4203333333334,28625.4,0.016,2054.458333333333,6.05,3.426666666666667
288,closed ,ABS,0.1,80,Grid,70,3.7016666666666667,75.7,709.8613333333333,31463.36666666667,0.016,2363.598666666667,6.350000000000001,3.553333333333333
289,closed ,ABS,0.1,80,Triangles,30,2.3096666666666668,73.91,632.3823333333333,29182.26666666667,0.013,2471.923,6.203333333333333,3.493333333333334
290,closed ,ABS,0.1,80,Zigzag,50,2.546,77.9,709.6933333333333,32409.4,0.017,2320.429333333333,6.286666666666666,3.483333333333333
291,closed ,ABS,0.2,20,Grid,50,9.316333333333333,70.6,542.167,24962.8,0.01633333333333334,1788.043,6.176666666666667,3.52
292,closed ,ABS,0.2,20,Triangles,70,6.9959999999999996,70.3,541.6146666666667,26189.36666666667,0.015,1937.525666666667,5.983333333333333,3.456666666666667
293,closed ,ABS,0.2,20,Zigzag,30,6.560666666666667,77.4,533.8506666666667,25118.83333333333,0.016,1829.141,6.116666666666667,3.476666666666667
294,closed ,ABS,0.2,50,Grid,70,7.022333333333333,75.1,601.407,28773.33333333333,0.016,2120.177666666667,6.123333333333334,3.413333333333334
295,closed ,ABS,0.2,50,Triangles,30,5.494666666666667,78.3,579.228,28083.13333333333,0.01433333333333333,2218.177,6.036666666666666,3.416666666666667
296,closed ,ABS,0.2,50,Zigzag,50,6.457000000000001,77.9,604.1023333333334,29489.36666666667,0.01533333333333333,2193.919333333333,6.013333333333333,3.406666666666667
297,closed ,ABS,0.2,80,Grid,30,5.047,77.8,653.2579999999999,31455.6,0.015,2470.910333333333,6.066666666666666,3.423333333333333
298,closed ,ABS,0.2,80,Triangles,50,6.023666666666667,78.3,623.9720000000001,28874.26666666667,0.01366666666666667,2506.725,6.173333333333333,3.51
299,closed ,ABS,0.2,80,Zigzag,70,7.334333333333333,78.0,718.4363333333334,33684.83333333334,0.017,2626.990666666667,6.149999999999999,3.47
300,closed ,ABS,0.3,20,Grid,70,4.915333333333334,71.6,636.2953333333334,29553.56666666667,0.01533333333333333,2262.710666666666,6.273333333333333,3.44
301,closed ,ABS,0.3,20,Triangles,30,5.354666666666667,78.3,611.8973333333333,29372.56666666667,0.01466666666666667,2299.157,6.056666666666668,3.44
302,closed ,ABS,0.3,20,Zigzag,50,4.371666666666667,75.9,654.3446666666667,29946.63333333333,0.01533333333333333,2213.812666666667,6.376666666666668,3.43
303,closed ,ABS,0.3,50,Grid,30,5.8053333333333335,73.6,640.2383333333333,30749.03333333334,0.015,2346.008333333333,6.116666666666667,3.403333333333334
304,closed ,ABS,0.3,50,Triangles,50,4.291333333333333,74.9,662.7806666666667,32326.93333333333,0.015,2495.679666666667,6.06,3.383333333333333
305,closed ,ABS,0.3,50,Zigzag,70,4.597,74.8,669.2306666666667,32935.7,0.016,2413.345666666667,6.0,3.386666666666667
306,closed ,ABS,0.3,80,Grid,50,4.705333333333333,77.0,704.9893333333333,34441.2,0.015,2635.694333333333,6.05,3.383333333333333
307,closed ,ABS,0.3,80,Triangles,70,3.972,77.4,718.2123333333333,34588.93333333333,0.015,2739.165333333333,6.056666666666668,3.43
308,closed ,ABS,0.3,80,Zigzag,30,6.377,75.7,721.4110000000001,35273.7,0.01533333333333333,2700.980666666667,6.056666666666668,3.376666666666666
