Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
141,open,PETG,0.2,50,Zigzag,50,4.694,77.2,823.8180000000001,42077.03333333333,0.01866666666666666,2684.492,6.44,3.04
144,open,PETG,0.2,80,Zigzag,70,7.135000000000001,60.5,741.9499999999999,36707.76666666667,0.019,2340.101666666667,6.343333333333334,3.186666666666667
145,open,PETG,0.3,20,Grid,70,7.034,70.0,732.2276666666667,41158.3,0.017,2724.535,6.626666666666666,2.686666666666667
146,open,PETG,0.3,20,Triangles,30,6.363666666666667,75.9,757.3953333333334,40847.33333333334,0.01533333333333333,2888.333666666667,6.456666666666667,2.87
147,open,PETG,0.3,20,Zigzag,50,5.087666666666667,76.6,907.9989999999999,42272.26666666667,0.01633333333333334,2920.225333333333,6.443333333333332,3.333333333333333
148,open,PETG,0.3,50,Grid,30,5.976333333333334,75.0,961.4846666666666,42066.53333333333,0.017,2803.774666666667,6.486666666666667,3.526666666666667
149,open,PETG,0.3,50,Triangles,50,7.205000000000001,76.6,883.4943333333334,42971.26666666667,0.017,2889.055333333334,6.486666666666667,3.17
150,open,PETG,0.3,50,Zigzag,70,5.508,72.4,831.8713333333334,41720.26666666667,0.01733333333333334,2804.412333333334,6.32,3.156666666666666
151,open,PETG,0.3,80,Grid,50,0.0,73.6,846.0323333333332,41867.23333333333,0.017,2848.661,6.456666666666666,3.13
152,open,PETG,0.3,80,Triangles,70,5.7059999999999995,74.9,855.4246666666668,41770.46666666667,0.016,2897.012666666667,6.453333333333333,3.173333333333333
153,open,PETG,0.3,80,Zigzag,30,7.808,76.3,894.2853333333333,44350.63333333333,0.017,2911.977666666667,6.443333333333334,3.13
154,closed ,PETG,0.1,20,Grid,30,3.0109999999999997,42.0,661.0396666666667,31047.43333333333,,1761.503666666667,6.233333333333333,3.416666666666667
155,closed ,PETG,0.1,20,Grid,50,4.578333333333333,40.1,649.4423333333333,30197.06666666667,,1657.813333333334,6.239999999999999,3.446666666666667
156,closed ,PETG,0.1,20,Grid,70,5.503,34.6,663.1233333333333,31968.43333333333,,1832.154333333333,6.083333333333333,3.41
157,closed ,PETG,0.1,20,Triangles,30,1.283,48.9,670.1576666666666,32276.86666666667,0.01966666666666667,1963.124,6.22,3.338333333333333
158,closed ,PETG,0.1,20,Triangles,50,1.6600000000000001,52.4,748.0093333333333,34286.06666666667,0.0215,1879.322,6.416666666666667,3.4
159,closed ,PETG,0.1,20,Triangles,70,1.452333333333333,53.7,738.977,34102.66666666666,,1895.323,6.293333333333333,3.443333333333333
160,closed ,PETG,0.1,20,Zigzag,30,1.618,58.8,691.1666666666666,33052.7,0.02066666666666667,1822.723666666667,6.193333333333332,3.376666666666667
161,closed ,PETG,0.1,20,Zigzag,50,2.5403333333333333,59.0,676.4906666666667,32427.4,0.0205,1834.580333333333,6.19,3.37
162,closed ,PETG,0.1,20,Zigzag,70,1.9720000000000002,50.5,670.5513333333333,32282.6,,1842.565333333333,6.156666666666666,3.373333333333334
163,closed ,PETG,0.1,50,Grid,30,2.7923333333333336,70.9,679.6986666666667,33292.43333333333,0.01866666666666666,2004.831,6.113333333333333,3.34
164,closed ,PETG,0.1,50,Grid,50,1.7663333333333335,71.6,719.824,34207.56666666667,0.01933333333333333,2052.778,6.263333333333333,3.36
165,closed ,PETG,0.1,50,Grid,70,2.688333333333333,71.1,735.2826666666666,35070.16666666666,0.021,2041.524666666667,6.136666666666667,3.416666666666667
166,closed ,PETG,0.1,50,Triangles,30,1.7313333333333334,64.4,700.991,32635.5,0.01866666666666666,2021.615666666667,6.196666666666666,3.466666666666667
167,closed ,PETG,0.1,50,Triangles,50,1.3896666666666668,68.1,757.3603333333334,36138.03333333333,0.019,2233.478,6.213333333333334,3.373333333333333
168,closed ,PETG,0.1,50,Triangles,70,1.6973333333333336,72.0,737.6626666666667,34169.76666666667,,2092.189,6.27,3.443333333333333
169,closed ,PETG,0.1,50,Zigzag,30,1.3733333333333333,71.6,783.2133333333333,34766.96666666667,0.02033333333333333,2001.931666666667,6.593333333333334,3.416666666666667
170,closed ,PETG,0.1,50,Zigzag,50,1.3136666666666668,71.1,772.1696666666667,34011.66666666666,0.02,1987.922,6.743333333333333,3.366666666666667
171,closed ,PETG,0.1,50,Zigzag,70,1.607,69.5,768.832,33917.4,,1979.228333333333,6.68,3.393333333333333
172,closed ,PETG,0.1,80,Grid,30,1.3193333333333335,74.8,840.6373333333335,36865.46666666667,0.019,2289.432333333334,6.726666666666667,3.39
173,closed ,PETG,0.1,80,Grid,50,1.0773333333333335,74.7,825.4780000000001,36401.53333333333,0.01866666666666666,2271.822666666666,6.656666666666666,3.406666666666667
174,closed ,PETG,0.1,80,Grid,70,1.7933333333333332,71.7,847.2523333333334,37173.16666666666,0.02,2260.082666666667,6.736666666666667,3.383333333333333
175,closed ,PETG,0.1,80,Triangles,30,2.4053333333333335,73.1,815.0103333333333,37356.06666666667,0.019,2435.444666666667,6.336666666666667,3.443333333333333
176,closed ,PETG,0.1,80,Triangles,50,1.5956666666666666,74.4,785.5886666666667,34990.56666666667,,2294.103,6.63,3.386666666666667
177,closed ,PETG,0.1,80,Triangles,70,2.0690000000000004,73.6,783.3179999999999,36488.13333333333,,2384.259,6.216666666666666,3.453333333333333
178,closed ,PETG,0.1,80,Zigzag,30,1.3163333333333334,73.9,860.4496666666668,39105.43333333333,0.01866666666666666,2498.094666666666,6.416666666666667,3.43
179,closed ,PETG,0.1,80,Zigzag,50,2.536,70.6,845.3756666666667,38021.6,0.02,2268.653666666667,6.56,3.39
180,closed ,PETG,0.1,80,Zigzag,70,2.5656666666666665,61.6,813.2803333333333,37085.46666666667,0.0215,2145.124666666667,6.513333333333333,3.37
181,closed ,PETG,0.2,20,Grid,30,2.904666666666667,67.7,693.0176666666666,31190.63333333333,,1943.916333333333,6.473333333333334,3.433333333333334
182,closed ,PETG,0.2,20,Grid,50,3.2046666666666668,65.3,731.8816666666667,32499.36666666667,0.02,1928.54,6.649999999999999,3.386666666666667
183,closed ,PETG,0.2,20,Grid,70,3.6816666666666666,65.2,741.5963333333333,33720.9,,1952.795333333333,6.44,3.416666666666667
184,closed ,PETG,0.2,20,Triangles,30,2.7163333333333335,66.8,738.0236666666666,32819.53333333333,0.019,1923.408,6.68,3.366666666666667
185,closed ,PETG,0.2,20,Triangles,50,4.1513333333333335,67.4,764.4513333333334,33912.06666666667,,1935.960333333333,6.670000000000001,3.38
186,closed ,PETG,0.2,20,Triangles,70,3.215,68.3,774.0536666666667,33614.33333333334,,1917.145333333333,6.63,3.473333333333333
187,closed ,PETG,0.2,20,Zigzag,30,2.918333333333333,69.3,723.2013333333334,31877.8,0.019,1965.228,6.713333333333334,3.38
188,closed ,PETG,0.2,20,Zigzag,50,3.3880000000000003,66.8,747.8233333333334,32916.63333333333,,1948.865666666667,6.663333333333333,3.41
189,closed ,PETG,0.2,20,Zigzag,70,3.4163333333333328,65.0,741.6080000000001,33502.6,,1984.211333333333,6.48,3.416666666666667
190,closed ,PETG,0.2,50,Grid,30,3.2883333333333336,73.4,777.7853333333333,34305.56666666667,0.01933333333333333,2047.652,6.643333333333334,3.413333333333334
191,closed ,PETG,0.2,50,Grid,50,3.425333333333333,70.5,796.7510000000001,35097.93333333333,0.02,2036.598666666667,6.683333333333334,3.396666666666667
192,closed ,PETG,0.2,50,Grid,70,3.7900000000000005,71.7,791.5293333333333,34927.7,,2092.628,6.640000000000001,3.413333333333334
193,closed ,PETG,0.2,50,Triangles,30,3.1950000000000003,74.9,784.1846666666667,34440.03333333333,0.01766666666666667,2205.660333333333,6.613333333333333,3.443333333333333
194,closed ,PETG,0.2,50,Triangles,50,3.046333333333333,71.9,809.4383333333334,36027.16666666666,,2245.069333333333,6.506666666666667,3.453333333333333
195,closed ,PETG,0.2,50,Triangles,70,3.598333333333333,73.4,794.031,36109.56666666667,,2258.272666666666,6.356666666666666,3.46
196,closed ,PETG,0.2,50,Zigzag,30,2.9386666666666663,72.6,785.8336666666668,34468.23333333334,,2115.944666666667,6.653333333333333,3.426666666666667
197,closed ,PETG,0.2,50,Zigzag,50,2.8953333333333333,72.9,797.6306666666666,34931.16666666666,,2112.297333333333,6.669999999999999,3.423333333333333
198,closed ,PETG,0.2,50,Zigzag,70,2.985333333333333,73.2,792.6886666666666,34639.96666666667,,2171.169,6.723333333333334,3.403333333333334
199,closed ,PETG,0.2,80,Grid,30,2.3606666666666665,76.4,836.555,36831.0,0.01766666666666667,2426.231,6.566666666666666,3.46
200,closed ,PETG,0.2,80,Grid,50,3.624333333333333,75.4,828.0373333333333,36310.46666666667,0.0185,2385.752666666667,6.726666666666667,3.39
201,closed ,PETG,0.2,80,Grid,70,4.211666666666667,75.3,807.226,34944.26666666666,,2230.775666666666,6.676666666666667,3.46
202,closed ,PETG,0.2,80,Triangles,30,4.244666666666667,75.4,807.3423333333334,37589.33333333334,0.0185,2533.877666666667,6.22,3.453333333333333
203,closed ,PETG,0.2,80,Triangles,50,3.4269999999999996,76.7,854.9603333333333,37905.8,,2479.610666666667,6.556666666666668,3.44
204,closed ,PETG,0.2,80,Triangles,70,4.500333333333333,73.0,828.2666666666668,36378.0,0.018,2423.593,6.626666666666666,3.436666666666667
205,closed ,PETG,0.2,80,Zigzag,30,5.1323333333333325,73.9,840.8116666666666,37593.66666666666,0.0185,2399.529,6.63,3.373333333333334
206,closed ,PETG,0.2,80,Zigzag,50,2.7253333333333334,74.9,901.491,40594.33333333334,0.021,2369.069,6.386666666666667,3.48
207,closed ,PETG,0.2,80,Zigzag,70,5.065666666666666,75.5,931.3093333333333,41082.5,,2462.281333333333,6.609999999999999,3.43
208,closed ,PETG,0.3,20,Grid,30,8.723333333333334,69.3,832.2676666666666,35819.2,0.021,2100.859333333333,6.676666666666667,3.48
209,closed ,PETG,0.3,20,Grid,50,4.622333333333334,70.9,783.9,34135.1,,1981.087,6.580000000000001,3.49
210,closed ,PETG,0.3,20,Grid,70,6.774333333333334,67.2,898.315,37378.23333333334,,2225.987666666666,6.56,3.666666666666667
211,closed ,PETG,0.3,20,Triangles,30,6.377666666666666,72.8,848.1723333333333,37447.66666666666,0.01933333333333333,2239.222,6.37,3.556666666666667
212,closed ,PETG,0.3,20,Triangles,50,8.665333333333333,73.3,876.6236666666667,37629.36666666667,,2199.529,6.600000000000001,3.53
213,closed ,PETG,0.3,20,Triangles,70,5.983999999999999,73.3,659.0356666666667,29623.6,,1731.602666666667,6.34,3.506666666666666
214,closed ,PETG,0.3,20,Zigzag,30,6.5840000000000005,70.9,797.1476666666667,34061.53333333333,,2236.282,6.636666666666667,3.526666666666667
215,closed ,PETG,0.3,20,Zigzag,50,7.449666666666666,72.6,818.6796666666665,34968.83333333334,,2225.202333333333,6.633333333333333,3.53
216,closed ,PETG,0.3,20,Zigzag,70,7.203333333333333,70.7,843.7136666666667,35587.66666666666,,2196.766333333333,6.653333333333333,3.563333333333333
217,closed ,PETG,0.3,50,Grid,30,6.061333333333334,72.2,858.2753333333334,37356.4,,2332.981333333333,6.420000000000001,3.58
218,closed ,PETG,0.3,50,Grid,50,6.843,76.6,795.7673333333333,34059.56666666667,0.02,2092.890666666667,6.669999999999999,3.503333333333333
219,closed ,PETG,0.3,50,Grid,70,7.788999999999999,72.6,887.3686666666667,37482.33333333334,,2301.163666666667,6.583333333333333,3.596666666666666
220,closed ,PETG,0.3,50,Triangles,30,6.111000000000001,73.7,805.3523333333333,34538.93333333333,0.0195,2133.528,6.59,3.536666666666667
221,closed ,PETG,0.3,50,Triangles,50,6.774,74.6,845.1036666666665,35736.6,,2164.011666666667,6.73,3.513333333333333
222,closed ,PETG,0.3,50,Triangles,70,7.433666666666667,71.5,904.6093333333333,37331.5,,2265.279,6.683333333333334,3.626666666666666
223,closed ,PETG,0.3,50,Zigzag,30,7.508333333333333,74.5,797.2003333333333,34231.93333333333,,2272.781,6.616666666666667,3.52
224,closed ,PETG,0.3,50,Zigzag,50,8.068,74.1,854.9499999999999,36822.26666666667,,2351.602,6.596666666666667,3.52
225,closed ,PETG,0.3,50,Zigzag,70,8.213,71.7,899.177,37422.96666666667,,2359.569333333333,6.68,3.596666666666666
226,closed ,PETG,0.3,80,Grid,30,7.992999999999999,72.5,928.0463333333333,38425.3,0.01866666666666666,2447.623666666667,6.66,3.626666666666667
227,closed ,PETG,0.3,80,Grid,50,7.467333333333333,73.9,925.0459999999999,39410.73333333333,0.019,2468.307333333334,6.643333333333334,3.533333333333333
228,closed ,PETG,0.3,80,Grid,70,7.814666666666667,71.5,909.953,38836.9,0.019,2436.891,6.563333333333333,3.57
229,closed ,PETG,0.3,80,Triangles,30,7.284999999999999,72.8,928.8196666666666,38166.4,0.01766666666666667,2489.476666666667,6.686666666666667,3.64
230,closed ,PETG,0.3,80,Triangles,50,3.443,69.9,950.8269999999999,38734.63333333333,0.01866666666666666,2456.339666666667,6.646666666666666,3.693333333333333
231,closed ,PETG,0.3,80,Triangles,70,1.7623333333333333,71.5,970.157,39287.1,0.019,2483.243333333333,6.716666666666666,3.676666666666667
232,closed ,PETG,0.3,80,Zigzag,30,3.4939999999999998,73.8,958.386,40303.1,0.018,2542.909333333333,6.73,3.533333333333333
233,closed ,PETG,0.3,80,Zigzag,50,5.0169999999999995,72.4,927.4536666666667,40238.2,0.02,2374.124666666667,6.363333333333333,3.62
234,closed ,PETG,0.3,80,Zigzag,70,7.135666666666666,69.8,946.632,40384.33333333334,0.019,2443.450666666667,6.350000000000001,3.693333333333333
