Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
127,closed ,PLA phosphorus,0.3,20,Zigzag,50,7.7973333333333334,80.0,811.913,35766.96666666667,0.013,3206.877666666667,6.426666666666667,3.533333333333333
128,closed ,PLA phosphorus,0.3,50,Grid,30,6.656333333333333,79.1,859.0583333333334,37501.9,0.013,3415.119666666667,6.46,3.546666666666667
129,closed ,PLA phosphorus,0.3,50,Triangles,50,8.372666666666667,77.2,844.9776666666667,37211.33333333334,0.01266666666666667,3447.573,6.25,3.633333333333333
130,closed ,PLA phosphorus,0.3,50,Zigzag,70,9.006,79.8,851.6903333333333,38773.9,0.01333333333333333,3493.343,6.193333333333332,3.546666666666667
131,closed ,PLA phosphorus,0.3,80,Grid,50,8.129666666666667,78.5,926.1193333333334,40780.8,0.013,3750.499,6.216666666666666,3.653333333333334
132,closed ,PLA phosphorus,0.3,80,Triangles,70,10.036333333333333,77.7,932.324,41700.26666666667,0.01266666666666667,3919.819666666666,6.246666666666667,3.58
133,closed ,PLA phosphorus,0.3,80,Zigzag,30,6.347333333333334,80.0,967.3373333333333,43532.7,0.01366666666666667,3905.514,6.32,3.516666666666667
134,closed ,PLA phosphorus,0.2,20,Zigzag,30,4.975666666666666,78.7,666.1553333333333,31274.3,0.01333333333333333,2716.794666666667,6.41,3.323333333333333
135,closed ,PLA phosphorus,0.2,50,Grid,70,5.685,82.8,743.8163333333333,34330.13333333333,0.014,2966.015666666666,6.43,3.37
136,closed ,PLA phosphorus,0.2,50,Triangles,30,4.200333333333333,81.2,716.7026666666667,32571.43333333333,0.01333333333333333,2890.398333333333,6.523333333333333,3.373333333333334
137,closed ,PLA phosphorus,0.2,50,Zigzag,50,5.649,80.9,707.114,31796.7,0.013,2865.790666666666,6.41,3.47
138,closed ,PLA phosphorus,0.2,80,Grid,30,4.6770000000000005,81.6,818.8236666666667,37162.46666666667,0.01333333333333333,3427.883,6.393333333333334,3.446666666666667
139,closed ,PLA phosphorus,0.2,80,Triangles,50,6.446000000000001,80.4,817.0553333333334,36853.56666666667,0.012,3701.227666666667,6.47,3.426666666666667
140,closed ,PLA phosphorus,0.2,80,Zigzag,70,5.475666666666666,82.6,909.402,41216.76666666667,0.01333333333333333,3653.937333333333,6.383333333333333,3.456666666666667
142,closed ,PLA phosphorus,0.3,20,Grid,70,8.398333333333333,77.6,800.98,34448.93333333333,0.013,3114.674666666666,6.513333333333333,3.57
143,closed ,PLA phosphorus,0.3,20,Triangles,30,6.757000000000001,79.8,781.3933333333333,34482.43333333333,0.012,3234.681333333333,6.383333333333333,3.55
235,closed ,PLA phosphorus,0.1,20,Grid,30,4.136333333333334,74.4,516.9353333333333,23238.33333333333,0.01733333333333334,1611.331,6.43,3.46
236,closed ,PLA phosphorus,0.1,20,Triangles,50,3.1646666666666667,60.4,532.9809999999999,24526.56666666667,0.01433333333333333,2001.244333333333,6.373333333333332,3.41
237,closed ,PLA phosphorus,0.1,20,Zigzag,70,3.6186666666666665,60.5,549.1179999999999,24948.16666666667,0.01566666666666667,1909.136666666667,6.423333333333333,3.426666666666667
238,closed ,PLA phosphorus,0.1,50,Grid,50,3.4873333333333334,78.7,602.5646666666667,27770.43333333333,0.01566666666666667,2143.593333333334,6.406666666666666,3.386666666666667
239,closed ,PLA phosphorus,0.1,50,Triangles,70,2.5656666666666665,75.7,597.7573333333333,26677.76666666667,0.01333333333333333,2218.251,6.526666666666666,3.433333333333334
240,closed ,PLA phosphorus,0.1,50,Zigzag,30,2.3043333333333336,78.5,616.6283333333334,27897.86666666667,0.015,2169.423,6.5,3.4
241,closed ,PLA phosphorus,0.1,80,Grid,70,3.3706666666666667,79.8,747.7353333333334,33069.83333333334,0.01333333333333333,2829.232333333333,6.489999999999999,3.486666666666667
242,closed ,PLA phosphorus,0.1,80,Triangles,70,3.3826666666666667,81.0,719.692,32557.96666666667,0.012,3087.248,6.426666666666667,3.44
243,closed ,PLA phosphorus,0.1,80,Zigzag,50,2.9920000000000004,80.9,854.8663333333334,39251.8,0.014,3409.422,6.393333333333334,3.406666666666666
244,closed ,PLA phosphorus,0.2,20,Grid,50,5.0313333333333325,79.5,670.7379999999999,30314.36666666667,0.014,2502.324,6.413333333333334,3.45
245,closed ,PLA phosphorus,0.2,20,Triangles,70,5.4430000000000005,76.9,664.1976666666667,29844.26666666667,0.014,2517.163333333333,6.383333333333333,3.486666666666667
