Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
310,closed ,PLA-CF,0.3,50,Grid,30,3.699333333333333,75.8,550.9223333333333,25255.46666666666,0.008333333333333333,3789.251333333334,6.093333333333334,3.58
311,closed ,PLA-CF,0.3,50,Triangles,50,4.939333333333333,77.7,574.659,26628.43333333333,0.006666666666666667,4691.955,6.109999999999999,3.533333333333333
312,closed ,PLA-CF,0.3,50,Zigzag,70,7.524,75.9,604.4063333333334,26632.2,0.008666666666666666,3439.837333333333,6.123333333333334,3.706666666666667
313,closed ,PLA-CF,0.3,80,Grid,50,6.834666666666667,72.3,649.5206666666667,30060.83333333333,0.009333333333333332,3441.530666666667,6.076666666666667,3.556666666666667
314,closed ,PLA-CF,0.3,80,Triangles,70,7.298666666666667,73.4,630.3623333333334,28693.36666666667,0.008666666666666666,3562.369666666667,6.096666666666667,3.603333333333333
315,closed ,PLA-CF,0.3,80,Zigzag,30,9.728333333333333,73.7,685.6753333333332,30623.7,0.009,3938.381666666667,6.123333333333332,3.656666666666666
316,closed ,PLA-CF,0.2,20,Zigzag,30,2.5226666666666664,73.3,467.3756666666666,22267.63333333333,0.008666666666666666,3116.146333333334,6.173333333333333,3.4
317,closed ,PLA-CF,0.2,50,Grid,70,3.2100000000000004,73.0,546.6353333333333,26011.16666666667,0.011,2538.153333333333,6.256666666666667,3.36
318,closed ,PLA-CF,0.2,50,Triangles,30,2.8030000000000004,75.0,490.6516666666666,22977.3,0.007333333333333333,3382.504666666666,6.463333333333334,3.303333333333333
319,closed ,PLA-CF,0.2,50,Zigzag,50,5.955333333333333,73.3,468.5846666666666,22352.86666666667,0.01033333333333333,2413.052333333334,6.233333333333333,3.363333333333333
320,closed ,PLA-CF,0.2,80,Grid,30,3.228333333333333,78.4,520.3523333333334,24552.03333333334,0.009666666666666665,2715.502666666667,6.239999999999999,3.396666666666667
321,closed ,PLA-CF,0.2,80,Triangles,50,3.5706666666666664,78.2,474.958,23506.46666666666,0.008333333333333333,2890.889333333333,6.02,3.356666666666667
322,closed ,PLA-CF,0.2,80,Zigzag,70,3.6299999999999994,78.1,603.7056666666667,29660.4,0.01166666666666667,3020.38,6.033333333333334,3.373333333333334
323,closed ,PLA-CF,0.3,20,Zigzag,50,5.8276666666666666,75.1,574.382,27221.93333333333,0.01066666666666667,2904.819666666666,6.046666666666667,3.49
324,closed ,PLA-CF,0.3,20,Grid,70,7.361,74.3,559.2093333333333,25998.6,0.011,2705.348333333333,6.076666666666667,3.54
325,closed ,PLA-CF,0.3,20,Triangles,30,5.322666666666667,74.5,524.6376666666666,24797.8,0.009333333333333332,2923.724,6.079999999999999,3.48
326,closed ,PLA-CF,0.1,20,Grid,30,2.3793333333333333,56.3,349.7113333333334,17246.36666666666,0.01066666666666667,1789.276333333333,5.993333333333333,3.383333333333333
327,closed ,PLA-CF,0.1,20,Triangles,50,3.2213333333333334,58.2,349.008,17173.1,0.006666666666666667,2837.443,5.996666666666667,3.39
328,closed ,PLA-CF,0.1,20,Zigzag,70,2.1713333333333336,62.0,469.9623333333334,23017.73333333333,0.01233333333333333,2230.792666666667,6.033333333333334,3.383333333333333
329,closed ,PLA-CF,0.1,50,Grid,50,2.458,66.6,461.7796666666666,22505.33333333333,0.01033333333333333,2665.562666666667,6.016666666666666,3.41
330,closed ,PLA-CF,0.1,50,Triangles,70,4.725666666666666,67.8,369.937,18367.96666666666,0.009333333333333334,2143.306,5.963333333333334,3.376666666666666
331,closed ,PLA-CF,0.1,50,Zigzag,30,2.1783333333333332,66.7,416.9523333333333,20618.8,0.008333333333333333,2761.226,6.043333333333333,3.346666666666666
332,closed ,PLA-CF,0.1,80,Grid,70,4.427333333333333,71.9,480.8896666666667,23504.26666666667,0.01033333333333333,2752.380666666666,5.989999999999999,3.416666666666667
333,closed ,PLA-CF,0.1,80,Triangles,70,2.3876666666666666,76.4,495.5666666666667,23842.0,0.008666666666666666,3270.65,6.043333333333333,3.44
334,closed ,PLA-CF,0.1,80,Zigzag,50,0.0,75.9,553.3696666666666,27800.1,0.01066666666666667,3187.019333333333,5.953333333333333,3.343333333333333
335,closed ,PLA-CF,0.2,20,Grid,50,3.6016666666666666,68.3,407.8656666666666,20320.03333333333,0.009,2421.380333333333,5.986666666666667,3.353333333333333
336,closed ,PLA-CF,0.2,20,Triangles,70,4.018666666666666,64.4,420.0993333333333,21138.36666666667,0.009333333333333332,2511.812333333333,5.956666666666667,3.336666666666666
