Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
477,closed ,PLA-transparent,0.1,20,triangles,50,2.7936666666666667,64.4,581.3580000000001,29326.0,0.01566666666666667,2359.370666666667,5.853333333333333,3.386666666666667
478,closed ,PLA-transparent,0.1,20,grid,70,2.7876666666666665,60.9,655.8273333333333,33443.9,0.01633333333333334,2491.064,6.053333333333334,3.24
479,closed ,PLA-transparent,0.1,20,triangles,30,2.259,63.7,620.0423333333333,31818.7,0.01433333333333333,2606.555666666667,5.953333333333333,3.273333333333333
480,closed ,PLA-transparent,0.1,50,zig zag,30,3.163233333333333,74.0,658.3366666666667,33585.2,0.014,2905.388666666666,5.94,3.299999999999999
481,closed ,PLA-transparent,0.1,50,grid,70,2.148333333333333,70.9,711.2593333333334,35279.9,0.016,2773.968333333334,6.109999999999999,3.299999999999999
482,closed ,PLA-transparent,0.1,50,triangles,70,3.2129999999999996,69.1,664.8816666666667,33700.56666666667,0.014,3050.516666666666,5.943333333333332,3.32
483,closed ,PLA-transparent,0.1,80,zig zag,50,3.7449999999999997,79.8,966.6063333333333,47881.43333333333,0.015,3973.934666666667,6.063333333333333,3.33
484,closed ,PLA-transparent,0.1,80,triangles,30,2.1186666666666665,81.2,783.9926666666667,39010.33333333334,0.011,4116.936666666667,6.153333333333333,3.266666666666667
485,closed ,PLA-transparent,0.2,20,zig zag,30,4.896333333333334,77.3,711.2636666666667,35947.43333333333,0.01366666666666667,3162.849,6.086666666666666,3.25
486,closed ,PLA-transparent,0.2,20,grid,50,3.954,77.4,758.062,39293.0,0.015,3210.8,5.973333333333334,3.23
487,closed ,PLA-transparent,0.2,20,grid,70,5.092666666666667,78.2,754.2420000000001,38768.6,0.01466666666666667,3172.203333333333,5.986666666666667,3.25
488,closed ,PLA-transparent,0.2,50,zig zag,50,5.097666666666666,81.4,844.3046666666665,43733.36666666667,0.01466666666666667,3707.624,6.033333333333334,3.200000000000001
489,closed ,PLA-transparent,0.2,50,triangles,70,4.962000000000001,80.5,828.8356666666667,42064.8,0.014,3666.691666666667,6.12,3.22
490,closed ,PLA-transparent,0.2,50,triangles,30,4.383,80.4,780.4126666666667,40930.4,0.013,3741.442666666666,5.94,3.21
491,closed ,PLA-transparent,0.2,80,grid,30,7.0906666666666665,81.2,895.6423333333333,43579.46666666667,0.015,3875.638666666667,6.03,3.41
492,closed ,PLA-transparent,0.2,80,triangles,70,5.785,81.6,913.4093333333334,44317.43333333333,0.01333333333333333,4216.02,6.186666666666667,3.333333333333333
493,closed ,PLA-transparent,0.3,20,zig zag,30,7.083666666666666,78.2,887.4376666666667,42963.2,0.01366666666666667,3783.058,6.039999999999999,3.42
494,closed ,PLA-transparent,0.3,20,triangles,70,8.962,79.2,921.8266666666667,44816.56666666667,0.01533333333333333,3724.920333333333,5.94,3.463333333333333
495,closed ,PLA-transparent,0.3,20,triangles,30,7.5,79.6,905.5713333333333,42666.2,0.01366666666666667,3680.174333333334,6.206666666666667,3.42
496,closed ,PLA-transparent,0.3,50,grid,30,8.399666666666667,78.0,978.1730000000001,46524.13333333333,0.014,3936.504666666666,6.106666666666666,3.443333333333333
497,closed ,PLA-transparent,0.3,50,grid,70,6.240666666666667,78.6,998.719,47847.93333333333,0.015,3975.207,5.93,3.52
498,closed ,PLA-transparent,0.3,50,triangles,50,7.394000000000001,79.2,997.5483333333333,46643.3,0.01466666666666667,4013.329333333333,6.109999999999999,3.5
499,closed ,PLA-transparent,0.3,80,zig zag,50,7.326999999999999,79.9,1101.942,52496.13333333333,0.01533333333333333,4360.021333333333,6.163333333333334,3.406666666666666
500,closed ,PLA-transparent,0.3,80,grid,70,7.285,78.2,1057.934666666667,49933.26666666666,0.015,4276.844,6.053333333333334,3.5
