Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
109,closed ,PLA,0.1,20,zig zag,30,4.763888888888889,75.9,721.0983333333334,33899.03333333333,0.012,3397.771666666667,6.16,3.453333333333333
110,closed ,PLA,0.1,50,triangles,50,3.982666666666667,78.9,535.5673333333333,24581.66666666667,0.012,2447.902666666667,6.333333333333333,3.44
111,closed ,PLA,0.1,80,grid,70,3.6784444444444446,80.0,650.2576666666668,30455.1,0.012,3137.009,6.243333333333333,3.42
112,closed ,PLA,0.2,20,triangles,70,3.957222222222222,76.6,611.9316666666667,28870.23333333333,0.01266666666666667,2639.358,6.186666666666667,3.426666666666667
113,closed ,PLA,0.2,50,grid,30,5.228555555555555,79.6,656.0103333333333,31174.96666666666,0.013,2871.204333333333,6.176666666666667,3.406666666666666
114,closed ,PLA,0.2,80,zig zag,50,6.404333333333334,80.2,797.4943333333334,37621.46666666667,0.01266666666666667,3597.311666666666,6.216666666666666,3.41
115,closed ,PLA,0.3,20,grid,50,7.071333333333333,79.2,763.9833333333332,34518.3,0.013,3167.453,6.3,3.513333333333333
116,closed ,PLA,0.3,50,zig zag,70,6.157444444444445,78.7,819.844,36926.76666666667,0.013,3400.771666666667,6.260000000000001,3.546666666666667
117,closed ,PLA,0.3,80,triangles,30,4.163777777777778,79.1,873.1106666666666,39515.13333333333,0.012,3834.491,6.253333333333333,3.533333333333333
118,open,PLA,0.1,20,zig zag,30,3.5767777777777776,75.7,690.5393333333333,35800.9,0.01366666666666667,2999.250333333333,6.103333333333333,3.16
119,open,PLA,0.1,50,triangles,50,3.236,79.1,702.6143333333333,36093.2,0.013,3218.639666666666,6.12,3.18
120,open,PLA,0.1,80,grid,70,4.971222222222221,81.4,778.9549999999999,40148.6,0.01366666666666667,3564.459666666667,6.126666666666666,3.173333333333333
121,open,PLA,0.2,20,triangles,70,4.985,78.3,790.0563333333333,41260.83333333334,0.01266666666666667,3715.355333333333,6.316666666666666,3.033333333333333
122,open,PLA,0.2,50,grid,30,7.240222222222222,79.5,806.1896666666667,41903.76666666666,0.01266666666666667,3910.774,6.303333333333334,3.06
123,open,PLA,0.2,80,zig zag,50,4.651555555555555,80.4,876.631,45435.23333333334,0.01233333333333333,4202.573666666666,6.25,3.09
124,open,PLA,0.3,20,grid,50,5.700666666666667,76.3,915.7669999999999,46042.83333333334,0.012,4263.162666666667,6.350000000000001,3.143333333333333
125,open,PLA,0.3,50,zig zag,70,5.950777777777778,79.2,852.4806666666667,42187.83333333334,0.01233333333333333,3968.387666666667,6.29,3.22
126,open,PLA,0.3,80,triangles,30,5.359777777777778,81.6,953.398,46986.5,0.012,4386.333666666666,6.489999999999999,3.126666666666666
