Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
255,closed ,TPU,0.1,20,Grid,30,1.7926666666666666,12.5,284.2173333333333,15074.2,3.422,24.525,6.143333333333334,3.67
256,closed ,TPU,0.1,20,Triangles,50,1.832,14.2,316.539,14203.36666666667,2.899666666666667,26.06066666666667,6.143333333333334,3.63
257,closed ,TPU,0.1,20,Zigzag,70,1.6166666666666665,13.4,298.6736666666666,13860.23333333333,2.860333333333333,30.45133333333333,6.046666666666667,3.566666666666666
258,closed ,TPU,0.1,50,Grid,50,1.8549999999999998,12.5,305.144,14379.83333333333,3.020666666666667,27.269,5.933333333333334,3.576666666666667
259,closed ,TPU,0.1,50,Triangles,70,1.7906666666666666,17.6,266.9026666666667,12482.16666666667,2.197666666666667,38.755,5.946666666666666,3.6
260,closed ,TPU,0.1,50,Zigzag,30,2.5860000000000003,18.3,327.7613333333333,15350.43333333333,2.573666666666667,28.79,5.98,3.57
261,closed ,TPU,0.1,80,Grid,70,3.3240000000000003,23.9,294.0296666666666,12698.73333333333,2.278333333333333,36.92633333333333,6.296666666666667,3.676666666666667
262,closed ,TPU,0.1,80,Triangles,30,3.5306666666666664,24.6,304.113,13369.0,2.137333333333333,41.72066666666667,6.196666666666666,3.67
263,closed ,TPU,0.1,80,Zigzag,50,2.474,28.0,459.321,20126.5,2.897,33.03433333333333,6.23,3.663333333333334
264,closed ,TPU,0.2,20,Grid,50,0.0,17.9,396.8826666666667,17626.1,3.087666666666667,21.00566666666667,6.146666666666666,3.663333333333334
265,closed ,TPU,0.2,20,Triangles,70,3.4879999999999995,17.6,363.2423333333333,16676.83333333333,2.729000000000001,27.80066666666667,6.006666666666667,3.626666666666666
266,closed ,TPU,0.2,20,Zigzag,30,3.3833333333333333,19.9,606.2869999999999,28261.76666666667,4.178666666666667,22.07766666666667,6.196666666666666,3.463333333333333
267,closed ,TPU,0.2,50,Grid,70,3.6773333333333333,29.3,631.1126666666667,30543.33333333333,3.933,23.846,6.083333333333333,3.396666666666667
268,closed ,TPU,0.2,50,Triangles,30,1.6726666666666665,27.2,638.625,30897.73333333333,4.0,23.87733333333334,6.02,3.433333333333334
269,closed ,TPU,0.2,50,Zigzag,50,2.41,27.4,553.9896666666667,27244.03333333334,3.536666666666667,44.71733333333333,5.966666666666666,3.41
270,closed ,TPU,0.2,80,Grid,30,10.972666666666667,35.3,630.6096666666667,29904.7,3.419666666666667,44.52266666666666,6.056666666666668,3.483333333333333
271,closed ,TPU,0.2,80,Triangles,50,4.999333333333333,34.6,582.2420000000001,27489.06666666667,3.063,44.75066666666667,6.056666666666668,3.5
272,closed ,TPU,0.2,80,Zigzag,70,3.840666666666667,28.0,626.9253333333332,29905.03333333334,3.801333333333333,19.60533333333333,6.09,3.443333333333333
273,closed ,TPU,0.3,20,Grid,70,3.346,20.7,480.5543333333333,21764.4,3.705666666666666,23.08833333333333,6.236666666666667,3.54
274,closed ,TPU,0.3,20,Triangles,30,3.029666666666667,23.7,527.5063333333334,23972.0,3.596666666666666,24.76433333333334,6.169999999999999,3.566666666666666
275,closed ,TPU,0.3,20,Zigzag,50,0.0,16.8,365.7576666666667,16462.0,3.151,33.15533333333333,6.166666666666667,3.603333333333333
276,closed ,TPU,0.3,50,Grid,30,3.6436666666666664,28.4,564.0896666666666,25206.4,3.578333333333333,23.67133333333333,6.193333333333332,3.613333333333333
277,closed ,TPU,0.3,50,Triangles,50,5.853333333333333,27.8,343.0116666666666,15578.4,2.701666666666667,39.77533333333333,6.153333333333333,3.576666666666667
278,closed ,TPU,0.3,50,Zigzag,70,0.0,18.7,387.6903333333333,17195.03333333334,3.478333333333333,26.27066666666667,6.216666666666666,3.626666666666666
279,closed ,TPU,0.3,80,Grid,50,2.8023333333333333,25.0,378.9596666666666,17259.6,2.714333333333334,34.082,6.143333333333334,3.573333333333334
280,closed ,TPU,0.3,80,Triangles,70,4.422999999999999,21.1,371.8713333333333,16615.76666666667,2.766333333333333,30.98433333333334,6.203333333333333,3.61
281,closed ,TPU,0.3,80,Zigzag,30,6.503333333333333,34.7,732.9673333333334,31784.40000000001,4.293,15.20966666666667,6.216666666666666,3.71
